word,color,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
blue,red,0,left,0,0,0,5,down,0,1.05232715607,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,green,0,down,0,1,1,1,down,1,1.86687493324,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,blue,0,right,0,2,2,3,right,1,1.63579511642,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,green,1,down,0,3,3,2,right,0,0.918921947479,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,blue,1,right,0,4,4,4,left,0,0.635429143906,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,red,1,left,0,5,5,0,right,0,0.736227989197,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,blue,1,right,1,0,6,4,left,0,0.886122941971,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,blue,0,right,1,1,7,3,right,1,0.318599939346,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,green,1,down,1,2,8,2,right,0,0.351285934448,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,red,0,left,1,3,9,5,right,0,0.335196971893,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,red,1,left,1,4,10,0,left,1,0.0525181293488,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,green,0,down,1,5,11,1,left,0,0.0686688423157,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,blue,0,right,2,0,12,3,down,0,0.137140989304,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,red,1,left,2,1,13,0,right,0,0.185091018677,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,green,0,down,2,2,14,1,down,1,0.0341699123383,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,blue,1,right,2,3,15,4,left,0,0.235606908798,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,red,0,left,2,4,16,5,left,1,0.0369210243225,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,green,1,down,2,5,17,2,down,1,0.102771043777,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,blue,1,right,3,0,18,4,right,1,0.317097902298,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,blue,0,right,3,1,19,3,left,0,0.0367720127106,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,red,0,left,3,2,20,5,left,1,0.401867866516,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,green,1,down,3,3,21,2,left,0,0.334997177124,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,green,0,down,3,4,22,1,right,0,0.0692839622498,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,red,1,left,3,5,23,0,left,1,0.135961055756,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,red,0,left,4,0,24,5,right,0,0.336191892624,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,blue,0,right,4,1,25,3,right,1,0.0865669250488,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,red,1,left,4,2,26,0,right,0,0.101234912872,2018_May_03_2141,60.447021895685275,stroop,001,blep,
green,green,1,down,4,3,27,2,right,0,0.11983704567,2018_May_03_2141,60.447021895685275,stroop,001,blep,
blue,blue,1,right,4,4,28,4,right,1,0.101978063583,2018_May_03_2141,60.447021895685275,stroop,001,blep,
red,green,0,down,4,5,29,1,right,0,0.101575136185,2018_May_03_2141,60.447021895685275,stroop,001,blep,
